"Transfer","Transfer"
"Transfer Created On","Transfer Created On"
"Transfer Stock","Transfer Stock"
"Type","Type"
"Unable to cancel order because it has been on delivery!","Unable to cancel order because it has been on delivery!"
"Unable to create stock receiving!","Unable to create stock receiving!"
"Unable to find Purchase order to save!","Unable to find Purchase order to save!"
"Unable to find adjust stock to create","Unable to find adjust stock to create"
"Unable to find delivery to save!","Unable to find delivery to save!"
"Unable to find item to save","Unable to find item to save"
"Unable to find notice to save","Unable to find notice to save"
"Unable to find payment term to save!","Unable to find payment term to save!"
"Unable to find return order to save!","Unable to find return order to save!"
"Unable to find shipping method to save!","Unable to find shipping method to save!"
"Unable to find stock issuing to save","Unable to find stock issuing to save"
"Unable to find supplier to save!","Unable to find supplier to save!"
"Unable to find warehouse to save!","Unable to find warehouse to save!"
"Unable to save","Unable to save"
"Unable to update stock","Unable to update stock"
"Update cost price","Update cost price"
"Use Config Settings","Use Config Settings"
"Use drop shipping","Use drop shipping"
"User Name","User Name"
"Value Issued","Value Issued"
"Value Received","Value Received"
"Vender website","Vender website"
"View","View"
"View Adjust Stock No. ","View Adjust Stock No. "
"View Product","View Product"
"View Stock Issuing ","View Stock Issuing "
"View Stock Receving","View Stock Receving"
"View Stock Receving ","View Stock Receving "
"View Stock Transfering","View Stock Transfering"
"View Stock Transfering ","View Stock Transfering "
"View Supplier","View Supplier"
"View Warehouse","View Warehouse"
"View warehouse","View warehouse"
"Visibility","Visibility"
"Warehouse","Warehouse"
"Warehouse Adjusted","Warehouse Adjusted"
"Warehouse Contact","Warehouse Contact"
"Warehouse Country","Warehouse Country"
"Warehouse Email","Warehouse Email"
"Warehouse Filter","Warehouse Filter"
"Warehouse Information","Warehouse Information"
"Warehouse Manager","Warehouse Manager"
"Warehouse Name","Warehouse Name"
"Warehouse Phone","Warehouse Phone"
"Warehouse does not exist!","Warehouse does not exist!"
"Warehouse information","Warehouse information"
"Warehouse is empty. Please transfer stock to move products into warehouse!","Warehouse is empty. Please transfer stock to move products into warehouse!"
"Warehouse was successfully deleted","Warehouse was successfully deleted"
"Warehouse was successfully saved!","Warehouse was successfully saved!"
"Warehouse/Supplier shipment","Warehouse/Supplier shipment"
"Warehouses Shipped","Warehouses Shipped"
"Website","Website"
"When you want to Adjust Stock, the structure of CSV file is as follows:","When you want to Adjust Stock, the structure of CSV file is as follows:"
"When you want to Assign Products for Supplier, the structure of CSV file is as follows:","When you want to Assign Products for Supplier, the structure of CSV file is as follows:"
"XML","XML"
"Year","Year"
"Yes","Yes"
"You can cancel the purchase order before this date","You can cancel the purchase order before this date"
"You have not permission to adjust stock any warehouse!","You have not permission to adjust stock any warehouse!"
"You have not permission to create custom  stock receiving any warehouse!","You have not permission to create custom  stock receiving any warehouse!"
"You have not permission to create custom stock issuing any warehouse!","You have not permission to create custom stock issuing any warehouse!"
"You need to add more products to your system","You need to add more products to your system"
"Zip/Postal Code","Zip/Postal Code"
"more than one qty product to transfer!","more than one qty product to transfer!"
"to Warehouse","to Warehouse"
"view","view"
